,name,distance,mass,radius
435,SDSS J000013.54+255418.6 [de],46.1,48,0.99
436,2MASS J08283419-1309198,,,
437,2MASS J00040288-6410358,192,19,1.63
438,LHS 102BC,,,
439,2MASS J00242463-0158201,37.7,79,1.09
440,2MASS J00250365+4759191AB,143,,
441,2MASS J00274197+0503417,236,31,1.44
442,2MASS J00275592+2219328,46.9,,
443,2MASSW J0030300-145033,87.2,54,0.98
444,2MASS J00332386-1521309 [de],131,29,1.43
445,2MASS J00345157+0523050,31,42,0.94
446,2MASS 0036+1821,28.6,42,0.94
447,2MASSW J0045214+163445,57,23,1.62
448,WISEP J004701.06+680352.1 [fr],40,12,1.3
449,2MASS J00501994-3322402 [de],34,40,0.94
450,2MASS J00034227-2822410,,,
451,2MASS J00584253-0651239 [de],96,29,1.43
452,CFBDS J005910.90–011401.3,30,23,
453,2MASSI J0103320+193536,70,52,0.98
454,SDSSp J010752.33+004156.1 [de],51,52,0.98
455,2MASSI J0117474-340325 [de],163,20,1.62
456,2MASS J01415823-4633574 [de],130,20,1.61
457,SDSS J015141.69+124429.6,70,47,0.97
458,DENIS-P J020529.0−115925A,65,,
459,DENIS-P J020529.0−115925B,65,,
460,DENIS-P J020529.0−115925C,65,,
461,SDSS J020742.48+000056.2 [de],111,47,0.97
462,2MASS J02103857-3015313,101,15,1.53
463,2MASS J02340093-6442068,155,20,1.62
464,2MASS J02411151-0326587 [de],152,27,1.41
465,SDSS J000013.54+255418.6 [de],46.1,48,0.99
466,2MASS J08283419-1309198,,,
467,2MASS J00040288-6410358,192,19,1.63
468,LHS 102BC,,,
469,2MASS J00242463-0158201,37.7,79,1.09
470,2MASS J00250365+4759191AB,143,,
471,2MASS J00274197+0503417,236,31,1.44
472,2MASS J00275592+2219328,46.9,,
473,2MASSW J0030300-145033,87.2,54,0.98
474,2MASS J00332386-1521309 [de],131,29,1.43
475,2MASS J00345157+0523050,31,42,0.94
476,2MASS 0036+1821,28.6,42,0.94
477,2MASSW J0045214+163445,57,23,1.62
478,WISEP J004701.06+680352.1 [fr],40,12,1.3
479,2MASS J00501994-3322402 [de],34,40,0.94
480,2MASS J00034227-2822410,,,
481,2MASS J00584253-0651239 [de],96,29,1.43
482,CFBDS J005910.90–011401.3,30,23,
483,2MASSI J0103320+193536,70,52,0.98
484,SDSSp J010752.33+004156.1 [de],51,52,0.98
485,2MASSI J0117474-340325 [de],163,20,1.62
486,2MASS J01415823-4633574 [de],130,20,1.61
487,SDSS J015141.69+124429.6,70,47,0.97
488,DENIS-P J020529.0−115925A,65,,
489,DENIS-P J020529.0−115925B,65,,
490,DENIS-P J020529.0−115925C,65,,
491,SDSS J020742.48+000056.2 [de],111,47,0.97
492,2MASS J02103857-3015313,101,15,1.53
493,2MASS J02340093-6442068,155,20,1.62
494,2MASS J02411151-0326587 [de],152,27,1.41
495,2MASS J02431371−2453298,35,33,0.99
496,SDSS J000013.54+255418.6 [de],46.1,48,0.99
497,2MASS J08283419-1309198,,,
498,2MASS J00040288-6410358,192,19,1.63
499,LHS 102BC,,,
500,2MASS J00242463-0158201,37.7,79,1.09
501,2MASS J00250365+4759191AB,143,,
502,2MASS J00274197+0503417,236,31,1.44
503,2MASS J00275592+2219328,46.9,,
504,2MASSW J0030300-145033,87.2,54,0.98
505,2MASS J00332386-1521309 [de],131,29,1.43
506,2MASS J00345157+0523050,31,42,0.94
507,2MASS 0036+1821,28.6,42,0.94
508,2MASSW J0045214+163445,57,23,1.62
509,WISEP J004701.06+680352.1 [fr],40,12,1.3
510,2MASS J00501994-3322402 [de],34,40,0.94
511,2MASS J00034227-2822410,,,
512,2MASS J00584253-0651239 [de],96,29,1.43
513,CFBDS J005910.90–011401.3,30,23,
514,2MASSI J0103320+193536,70,52,0.98
515,SDSSp J010752.33+004156.1 [de],51,52,0.98
516,2MASSI J0117474-340325 [de],163,20,1.62
517,2MASS J01415823-4633574 [de],130,20,1.61
518,SDSS J015141.69+124429.6,70,47,0.97
519,DENIS-P J020529.0−115925A,65,,
520,DENIS-P J020529.0−115925B,65,,
